departure_airport_code,arrival_airport_code,provider_code,base_price
AAR,ADB,megamaldivesair.com,365
AAR,ADB,ceair.com,243
AAR,ADB,aeropelican.com.au,521
AAR,ADB,aircanada.com,343
AAR,ADB,avianca.com.br,168
AAR,ADB,iberiaexpress.com,256
AAR,ADB,jetblue.com,277
AAR,ADL,virginamerica.com,493
AAR,ADL,ceair.com,419
AAR,ADL,airindiaexpress.in,649
AAR,ADL,aa.com,344
AAR,AKL,kenya-airways.com,623
AAR,AKL,iberiaexpress.com,125
AAR,AKL,bruneiair.com,586
AAR,AKL,airberlin.com,414
AAR,AKL,transnusa.co.id,518
AAR,AMM,iberiaexpress.com,642
AAR,AMM,ceair.com,454
AAR,AMM,blu-express.com,542
AAR,AMM,airfrance.com,285
AAR,APW,rahbal.ir,428
AAR,APW,cebupacificair.com,269
AAR,APW,salamair.com,211
AAR,APW,blu-express.com,192
AAR,APW,omanair.com,219
AAR,ARN,iberiaexpress.com,236
AAR,ARN,silkair.com,628
AAR,ARN,united.com,292
AAR,ARN,fijiairways.com,365
AAR,ARN,bangkokair.com,521
AAR,ARN,aircanada.com,679
AAR,ATH,elal.com,101
AAR,ATH,fijiairways.com,157
AAR,ATH,bangkokair.com,690
AAR,ATH,mea.com.lb,368
AAR,ATH,olympicair.com,640
AAR,ATL,salamair.com,146
AAR,ATL,transnusa.co.id,357
AAR,ATL,aeropelican.com.au,481
AAR,AUH,delta.com,406
AAR,AUH,airfrance.com,202
AAR,AUH,virginamerica.com,201
AAR,AUH,megamaldivesair.com,320
AAR,AUS,aircanada.com,614
AAR,AUS,fijiairways.com,106
AAR,AUS,finnair.com,311
AAR,AUS,rahbal.ir,139
AAR,AUS,united.com,250
AAR,AUS,iberiaexpress.com,334
AAR,AUS,aa.com,247
AAR,AUS,csair.com,604
AAR,AUS,elal.com,413
AAR,BCN,united.com,444
AAR,BCN,rahbal.ir,102
AAR,BCN,airindia.com,668
AAR,BCN,csair.com,633
AAR,BCN,avianca.com.br,330
AAR,BCN,aegeanair.com,103
AAR,BCN,salamair.com,137
AAR,BDA,mea.com.lb,522
AAR,BDA,united.com,166
AAR,BDA,finnair.com,184
AAR,BDA,halatrip.com,699
AAR,BDA,flawingo.com,124
AAR,BDA,iberiaexpress.com,282
AAR,BGW,czechairlines.com,632
AAR,BGW,fijiairways.com,404
AAR,BGW,delta.com,429
AAR,BGW,olympicair.com,275
AAR,BGW,ataair.ir,369
AAR,BGW,aircanada.com,247
AAR,BGW,csair.com,290
AAR,BGY,kenya-airways.com,135
AAR,BGY,airberlin.com,494
AAR,BGY,bruneiair.com,183
AAR,BGY,cebupacificair.com,232
AAR,BGY,aircanada.com,417
AAR,BHX,elal.com,569
AAR,BHX,airfrance.com,425
AAR,BHX,bruneiair.com,132
AAR,BHX,blu-express.com,658
AAR,BHX,silkair.com,311
AAR,BHX,halatrip.com,561
AAR,BHX,czechairlines.com,536
AAR,BHX,finnair.com,375
AAR,BJV,airfrance.com,113
AAR,BJV,cebupacificair.com,430
AAR,BJV,csair.com,320
AAR,BJV,elal.com,559
AAR,BOD,airfrance.com,338
AAR,BOD,brindabellaairlines.com.au,400
AAR,BOD,kenya-airways.com,447
AAR,BOS,blu-express.com,586
AAR,BOS,rahbal.ir,265
AAR,BOS,omanair.com,539
AAR,BRU,flawingo.com,388
AAR,BRU,megamaldivesair.com,590
AAR,BRU,airindiaexpress.in,633
AAR,BRU,transnusa.co.id,181
AAR,BRU,blu-express.com,513
AAR,BRU,bangkokair.com,287
AAR,BRU,virginamerica.com,362
AAR,BRU,csair.com,491
AAR,BSL,ceair.com,290
AAR,BSL,jetblue.com,687
AAR,BSL,halatrip.com,595
AAR,BSL,cebupacificair.com,530
AAR,BSL,delta.com,259
AAR,BSL,olympicair.com,527
AAR,BSL,megamaldivesair.com,207
AAR,BTS,jetblue.com,376
AAR,BTS,delta.com,491
AAR,BTS,britishairways.com,233
AAR,BVA,virginamerica.com,611
AAR,BVA,elal.com,627
AAR,BVA,olympicair.com,432
AAR,BVA,bruneiair.com,583
AAR,BVA,omanair.com,361
AAR,BVA,aa.com,452
AAR,BVA,finnair.com,639
AAR,BVA,salamair.com,397
AAR,CAE,airberlin.com,452
AAR,CAE,kenya-airways.com,112
AAR,CAE,olympicair.com,215
AAR,CAE,aegeanair.com,133
AAR,CAE,rahbal.ir,557
AAR,CAE,halatrip.com,677
AAR,CAK,aa.com,473
AAR,CAK,britishairways.com,697
AAR,CAK,airindiaexpress.in,290
AAR,CAK,elal.com,678
AAR,CAK,finnair.com,384
AAR,CDG,jetblue.com,326
AAR,CDG,mea.com.lb,113
AAR,CDG,airindia.com,680
AAR,CDG,rahbal.ir,458
AAR,CDG,finnair.com,657
AAR,CDG,aeropelican.com.au,460
AAR,CGK,virginamerica.com,138
AAR,CGK,brindabellaairlines.com.au,550
AAR,CGK,mea.com.lb,204
AAR,CGK,united.com,441
AAR,CGK,aa.com,288
AAR,CGN,rahbal.ir,111
AAR,CGN,halatrip.com,627
AAR,CGN,airfrance.com,449
AAR,CIA,csair.com,212
AAR,CIA,aa.com,606
AAR,CJU,transnusa.co.id,391
AAR,CJU,omanair.com,342
AAR,CJU,japanflight.tripstar.co.jp,630
AAR,CLE,mea.com.lb,363
AAR,CLE,rahbal.ir,655
AAR,CLE,jetblue.com,416
AAR,CLE,fijiairways.com,274
AAR,CMB,megamaldivesair.com,395
AAR,CMB,avianca.com.br,382
AAR,CMB,csair.com,257
AAR,CMB,elal.com,196
AAR,CMB,mea.com.lb,440
AAR,CMB,ataair.ir,601
AAR,CMH,airberlin.com,113
AAR,CMH,rahbal.ir,188
AAR,CMH,brindabellaairlines.com.au,509
AAR,CMN,halatrip.com,644
AAR,CMN,airfrance.com,145
AAR,CMN,batavia-air.co.id,112
AAR,CNF,aa.com,144
AAR,CNF,kenya-airways.com,339
AAR,CNF,cebupacificair.com,402
AAR,CNF,finnair.com,450
AAR,CNF,aegeanair.com,328
AAR,CNF,fijiairways.com,337
AAR,COS,avianca.com.br,174
AAR,COS,ataair.ir,306
AAR,COS,batavia-air.co.id,689
AAR,COS,czechairlines.com,466
AAR,COS,britishairways.com,622
AAR,CPH,ceair.com,255
AAR,CPH,csair.com,596
AAR,CPH,cebupacificair.com,558
AAR,CPH,transnusa.co.id,143
AAR,CPH,bruneiair.com,240
AAR,CPH,airindia.com,264
AAR,CPH,silkair.com,353
AAR,CPH,iberiaexpress.com,453
AAR,CRK,virginamerica.com,527
AAR,CRK,aegeanair.com,270
AAR,CRK,cebupacificair.com,263
AAR,CRK,airindiaexpress.in,480
AAR,CRK,salamair.com,155
AAR,CRL,aa.com,340
AAR,CRL,iberiaexpress.com,378
AAR,CRL,megamaldivesair.com,498
AAR,CRL,bangkokair.com,610
AAR,CRL,japanflight.tripstar.co.jp,523
AAR,CTS,jetblue.com,121
AAR,CTS,aircanada.com,225
AAR,CTS,bangkokair.com,496
AAR,CTS,omanair.com,563
AAR,CTS,aa.com,316
AAR,CVG,aegeanair.com,672
AAR,CVG,batavia-air.co.id,264
AAR,CVG,airfrance.com,118
AAR,CVG,aeropelican.com.au,439
AAR,CXR,bangkokair.com,282
AAR,CXR,jetblue.com,149
AAR,CXR,brindabellaairlines.com.au,149
AAR,CXR,aegeanair.com,475
AAR,CXR,csair.com,181
AAR,CXR,halatrip.com,528
AAR,CXR,iberiaexpress.com,352
AAR,DAY,airberlin.com,113
AAR,DAY,bruneiair.com,228
AAR,DAY,aegeanair.com,689
AAR,DAY,brindabellaairlines.com.au,459
AAR,DAY,britishairways.com,392
AAR,DAY,olympicair.com,248
AAR,DAY,silkair.com,674
AAR,DCA,brindabellaairlines.com.au,578
AAR,DCA,salamair.com,434
AAR,DCA,airberlin.com,633
AAR,DCA,aircanada.com,189
AAR,DEN,megamaldivesair.com,285
AAR,DEN,csair.com,314
AAR,DEN,salamair.com,140
AAR,DEN,iberiaexpress.com,117
AAR,DEN,bangkokair.com,205
AAR,DEN,cebupacificair.com,427
AAR,DFW,airindiaexpress.in,124
AAR,DFW,avianca.com.br,369
AAR,DFW,aircanada.com,419
AAR,DFW,mea.com.lb,577
AAR,DFW,flawingo.com,441
AAR,DFW,aa.com,470
AAR,DFW,jetblue.com,110
AAR,DFW,airfrance.com,350
AAR,DFW,ataair.ir,274
AAR,DME,czechairlines.com,157
AAR,DME,silkair.com,226
AAR,DME,airindia.com,644
AAR,DME,airindiaexpress.in,548
AAR,DME,transnusa.co.id,624
AAR,DME,cebupacificair.com,685
AAR,DME,avianca.com.br,135
AAR,DRW,silkair.com,382
AAR,DRW,fijiairways.com,189
AAR,DRW,megamaldivesair.com,404
AAR,DRW,finnair.com,112
AAR,DRW,airberlin.com,518
AAR,DRW,aegeanair.com,295
AAR,DRW,rahbal.ir,444
AAR,DRW,ceair.com,451
AAR,DTW,flawingo.com,620
AAR,DTW,cebupacificair.com,616
AAR,DTW,airindia.com,522
AAR,DTW,megamaldivesair.com,334
AAR,DTW,transnusa.co.id,152
AAR,DUR,brindabellaairlines.com.au,305
AAR,DUR,bruneiair.com,178
AAR,DUR,silkair.com,179
AAR,DUR,salamair.com,440
AAR,DUR,rahbal.ir,275
AAR,DUR,olympicair.com,409
AAR,DUS,kenya-airways.com,104
AAR,DUS,blu-express.com,264
AAR,DUS,flawingo.com,139
AAR,DUS,aa.com,162
AAR,EIN,mea.com.lb,344
AAR,EIN,finnair.com,695
AAR,EIN,halatrip.com,455
AAR,EIN,ataair.ir,648
AAR,EIN,airfrance.com,236
AAR,EIN,bruneiair.com,637
AAR,EIN,olympicair.com,303
AAR,EIN,bangkokair.com,511
AAR,ESB,elal.com,451
AAR,ESB,aeropelican.com.au,388
AAR,ESB,aegeanair.com,588
AAR,ESB,iberiaexpress.com,406
AAR,ESB,cebupacificair.com,329
AAR,ESB,olympicair.com,507
AAR,ESB,transnusa.co.id,509
AAR,EWR,flawingo.com,314
AAR,EWR,halatrip.com,114
AAR,EWR,silkair.com,110
AAR,EZE,britishairways.com,497
AAR,FCO,elal.com,107
AAR,FCO,flawingo.com,411
AAR,FCO,silkair.com,371
AAR,FCO,cebupacificair.com,542
AAR,FCO,czechairlines.com,300
AAR,FIH,omanair.com,110
AAR,FIH,rahbal.ir,521
AAR,FIH,jetblue.com,556
AAR,FIH,kenya-airways.com,305
AAR,FIH,megamaldivesair.com,214
AAR,FIH,csair.com,316
AAR,FLL,aa.com,614
AAR,FLL,cebupacificair.com,333
AAR,FLR,finnair.com,252
AAR,FLR,cebupacificair.com,617
