code,name
aa.com,aa.com
aegeanair.com,aegeanair.com
aeropelican.com.au,aeropelican.com.au
airberlin.com,airberlin.com
aircanada.com,aircanada.com
airfrance.com,airfrance.com
airindia.com,airindia.com
airindiaexpress.in,airindiaexpress.in
ataair.ir,ataair.ir
avianca.com.br,avianca.com.br
bangkokair.com,bangkokair.com
batavia-air.co.id,batavia-air.co.id
blu-express.com,blu-express.com
brindabellaairlines.com.au,brindabellaairlines.com.au
britishairways.com,britishairways.com
bruneiair.com,bruneiair.com
ceair.com,ceair.com
cebupacificair.com,cebupacificair.com
csair.com,csair.com
czechairlines.com,czechairlines.com
delta.com,delta.com
elal.com,elal.com
fijiairways.com,fijiairways.com
finnair.com,finnair.com
flawingo.com,Flawingo
halatrip.com,halatrip.com
iberiaexpress.com,iberiaexpress.com
japanflight.tripstar.co.jp,japanflight.tripstar.co.jp
jetblue.com,jetblue.com
kenya-airways.com,kenya-airways.com
mea.com.lb,mea.com.lb
megamaldivesair.com,megamaldivesair.com
olympicair.com,olympicair.com
omanair.com,omanair.com
rahbal.ir,Rahbal Aseman
salamair.com,salamair.com
silkair.com,silkair.com
transnusa.co.id,transnusa.co.id
united.com,united.com
virginamerica.com,virginamerica.com
